# Energia (eV)   E^2 * fluence (eV)
1.07461e-07   0.00000e+00
1.24094e-07   0.00000e+00
1.43301e-07   0.00000e+00
1.65482e-07   0.00000e+00
1.91095e-07   0.00000e+00
2.20673e-07   0.00000e+00
2.54830e-07   0.00000e+00
2.94273e-07   0.00000e+00
3.39821e-07   0.00000e+00
3.92419e-07   0.00000e+00
4.53158e-07   0.00000e+00
5.23299e-07   0.00000e+00
6.04296e-07   0.00000e+00
6.97831e-07   0.00000e+00
8.05842e-07   0.00000e+00
9.30572e-07   0.00000e+00
1.07461e-06   0.00000e+00
1.24094e-06   0.00000e+00
1.43301e-06   0.00000e+00
1.65482e-06   0.00000e+00
1.91095e-06   0.00000e+00
2.20673e-06   0.00000e+00
2.54830e-06   0.00000e+00
2.94273e-06   0.00000e+00
3.39821e-06   0.00000e+00
3.92419e-06   0.00000e+00
4.53158e-06   0.00000e+00
5.23299e-06   0.00000e+00
6.04296e-06   0.00000e+00
6.97831e-06   0.00000e+00
8.05842e-06   0.00000e+00
9.30572e-06   0.00000e+00
1.07461e-05   0.00000e+00
1.24094e-05   0.00000e+00
1.43301e-05   0.00000e+00
1.65482e-05   0.00000e+00
1.91095e-05   0.00000e+00
2.20673e-05   0.00000e+00
2.54830e-05   0.00000e+00
2.94273e-05   0.00000e+00
3.39821e-05   0.00000e+00
3.92419e-05   0.00000e+00
4.53158e-05   0.00000e+00
5.23299e-05   0.00000e+00
6.04296e-05   0.00000e+00
6.97831e-05   0.00000e+00
8.05842e-05   0.00000e+00
9.30572e-05   0.00000e+00
1.07461e-04   0.00000e+00
1.24094e-04   0.00000e+00
1.43301e-04   0.00000e+00
1.65482e-04   0.00000e+00
1.91095e-04   0.00000e+00
2.20673e-04   0.00000e+00
2.54830e-04   0.00000e+00
2.94273e-04   0.00000e+00
3.39821e-04   0.00000e+00
3.92419e-04   0.00000e+00
4.53158e-04   0.00000e+00
5.23299e-04   0.00000e+00
6.04296e-04   0.00000e+00
6.97831e-04   0.00000e+00
8.05842e-04   0.00000e+00
9.30572e-04   0.00000e+00
1.07461e-03   0.00000e+00
1.24094e-03   0.00000e+00
1.43301e-03   0.00000e+00
1.65482e-03   0.00000e+00
1.91095e-03   0.00000e+00
2.20673e-03   0.00000e+00
2.54830e-03   0.00000e+00
2.94273e-03   0.00000e+00
3.39821e-03   0.00000e+00
3.92419e-03   0.00000e+00
4.53158e-03   0.00000e+00
5.23299e-03   0.00000e+00
6.04296e-03   0.00000e+00
6.97831e-03   0.00000e+00
8.05842e-03   0.00000e+00
9.30572e-03   0.00000e+00
1.07461e-02   0.00000e+00
1.24094e-02   0.00000e+00
1.43301e-02   0.00000e+00
1.65482e-02   0.00000e+00
1.91095e-02   0.00000e+00
2.20673e-02   0.00000e+00
2.54830e-02   0.00000e+00
2.94273e-02   0.00000e+00
3.39821e-02   0.00000e+00
3.92419e-02   0.00000e+00
4.53158e-02   0.00000e+00
5.23299e-02   0.00000e+00
6.04296e-02   0.00000e+00
6.97831e-02   0.00000e+00
8.05842e-02   0.00000e+00
9.30572e-02   0.00000e+00
1.07461e-01   0.00000e+00
1.24094e-01   0.00000e+00
1.43301e-01   0.00000e+00
1.65482e-01   0.00000e+00
1.91095e-01   0.00000e+00
2.20673e-01   0.00000e+00
2.54830e-01   0.00000e+00
2.94273e-01   0.00000e+00
3.39821e-01   0.00000e+00
3.92419e-01   0.00000e+00
4.53158e-01   0.00000e+00
5.23299e-01   0.00000e+00
6.04296e-01   0.00000e+00
6.97831e-01   0.00000e+00
8.05842e-01   0.00000e+00
9.30572e-01   0.00000e+00
1.07461e+00   0.00000e+00
1.24094e+00   0.00000e+00
1.43301e+00   0.00000e+00
1.65482e+00   0.00000e+00
1.91095e+00   0.00000e+00
2.20673e+00   0.00000e+00
2.54830e+00   0.00000e+00
2.94273e+00   0.00000e+00
3.39821e+00   0.00000e+00
3.92419e+00   0.00000e+00
4.53158e+00   0.00000e+00
5.23299e+00   0.00000e+00
6.04296e+00   0.00000e+00
6.97831e+00   0.00000e+00
8.05842e+00   0.00000e+00
9.30572e+00   0.00000e+00
1.07461e+01   0.00000e+00
1.24094e+01   0.00000e+00
1.43301e+01   0.00000e+00
1.65482e+01   0.00000e+00
1.91095e+01   0.00000e+00
2.20673e+01   0.00000e+00
2.54830e+01   0.00000e+00
2.94273e+01   0.00000e+00
3.39821e+01   0.00000e+00
3.92419e+01   0.00000e+00
4.53158e+01   0.00000e+00
5.23299e+01   0.00000e+00
6.04296e+01   0.00000e+00
6.97831e+01   0.00000e+00
8.05842e+01   0.00000e+00
9.30572e+01   0.00000e+00
1.07461e+02   0.00000e+00
1.24094e+02   0.00000e+00
1.43301e+02   0.00000e+00
1.65482e+02   0.00000e+00
1.91095e+02   0.00000e+00
2.20673e+02   0.00000e+00
2.54830e+02   0.00000e+00
2.94273e+02   0.00000e+00
3.39821e+02   0.00000e+00
3.92419e+02   0.00000e+00
4.53158e+02   0.00000e+00
5.23299e+02   0.00000e+00
6.04296e+02   0.00000e+00
6.97831e+02   0.00000e+00
8.05842e+02   0.00000e+00
9.30572e+02   0.00000e+00
1.07461e+03   0.00000e+00
1.24094e+03   0.00000e+00
1.43301e+03   0.00000e+00
1.65482e+03   0.00000e+00
1.91095e+03   0.00000e+00
2.20673e+03   0.00000e+00
2.54830e+03   0.00000e+00
2.94273e+03   0.00000e+00
3.39821e+03   0.00000e+00
3.92419e+03   0.00000e+00
4.53158e+03   0.00000e+00
5.23299e+03   0.00000e+00
6.04296e+03   0.00000e+00
6.97831e+03   0.00000e+00
8.05842e+03   0.00000e+00
9.30572e+03   0.00000e+00
1.07461e+04   0.00000e+00
1.24094e+04   0.00000e+00
1.43301e+04   0.00000e+00
1.65482e+04   0.00000e+00
1.91095e+04   0.00000e+00
2.20673e+04   0.00000e+00
2.54830e+04   0.00000e+00
2.94273e+04   0.00000e+00
3.39821e+04   0.00000e+00
3.92419e+04   0.00000e+00
4.53158e+04   0.00000e+00
5.23299e+04   0.00000e+00
6.04296e+04   0.00000e+00
6.97831e+04   0.00000e+00
8.05842e+04   0.00000e+00
9.30572e+04   0.00000e+00
1.07461e+05   0.00000e+00
1.24094e+05   0.00000e+00
1.43301e+05   0.00000e+00
1.65482e+05   0.00000e+00
1.91095e+05   0.00000e+00
2.20673e+05   0.00000e+00
2.54830e+05   0.00000e+00
2.94273e+05   0.00000e+00
3.39821e+05   0.00000e+00
3.92419e+05   0.00000e+00
4.53158e+05   0.00000e+00
5.23299e+05   3.08920e+55
6.04296e+05   4.13662e+55
6.97831e+05   5.53911e+55
8.05842e+05   7.41694e+55
